"id","name","content_type_id","codename"
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
5,Can add permission,2,add_permission
6,Can change permission,2,change_permission
7,Can delete permission,2,delete_permission
8,Can view permission,2,view_permission
9,Can add group,3,add_group
10,Can change group,3,change_group
11,Can delete group,3,delete_group
12,Can view group,3,view_group
13,Can add content type,4,add_contenttype
14,Can change content type,4,change_contenttype
15,Can delete content type,4,delete_contenttype
16,Can view content type,4,view_contenttype
17,Can add session,5,add_session
18,Can change session,5,change_session
19,Can delete session,5,delete_session
20,Can view session,5,view_session
21,Can add detalle pedido,6,add_detallepedido
22,Can change detalle pedido,6,change_detallepedido
23,Can delete detalle pedido,6,delete_detallepedido
24,Can view detalle pedido,6,view_detallepedido
25,Can add pedido insumo,7,add_pedidoinsumo
26,Can change pedido insumo,7,change_pedidoinsumo
27,Can delete pedido insumo,7,delete_pedidoinsumo
28,Can view pedido insumo,7,view_pedidoinsumo
29,Can add presupuesto,8,add_presupuesto
30,Can change presupuesto,8,change_presupuesto
31,Can delete presupuesto,8,delete_presupuesto
32,Can view presupuesto,8,view_presupuesto
33,Can add user,9,add_usuario
34,Can change user,9,change_usuario
35,Can delete user,9,delete_usuario
36,Can view user,9,view_usuario
37,Can add empleado,10,add_empleado
38,Can change empleado,10,change_empleado
39,Can delete empleado,10,delete_empleado
40,Can view empleado,10,view_empleado
41,Can add encuesta satisfaccion,11,add_encuestasatisfaccion
42,Can change encuesta satisfaccion,11,change_encuestasatisfaccion
43,Can delete encuesta satisfaccion,11,delete_encuestasatisfaccion
44,Can view encuesta satisfaccion,11,view_encuestasatisfaccion
45,Can add orden servicio,12,add_ordenservicio
46,Can change orden servicio,12,change_ordenservicio
47,Can delete orden servicio,12,delete_ordenservicio
48,Can view orden servicio,12,view_ordenservicio
49,Can add sector,13,add_sector
50,Can change sector,13,change_sector
51,Can delete sector,13,delete_sector
52,Can view sector,13,view_sector
53,Can add tarea,14,add_tarea
54,Can change tarea,14,change_tarea
55,Can delete tarea,14,delete_tarea
56,Can view tarea,14,view_tarea
57,Can add tiempo,15,add_tiempo
58,Can change tiempo,15,change_tiempo
59,Can delete tiempo,15,delete_tiempo
60,Can view tiempo,15,view_tiempo
61,Can add ajuste stock,16,add_ajustestock
62,Can change ajuste stock,16,change_ajustestock
63,Can delete ajuste stock,16,delete_ajustestock
64,Can view ajuste stock,16,view_ajustestock
65,Can add insumo,17,add_insumo
66,Can change insumo,17,change_insumo
67,Can delete insumo,17,delete_insumo
68,Can view insumo,17,view_insumo
69,Can add orden retiro,18,add_ordenretiro
70,Can change orden retiro,18,change_ordenretiro
71,Can delete orden retiro,18,delete_ordenretiro
72,Can view orden retiro,18,view_ordenretiro
73,Can add tipo insumo,19,add_tipoinsumo
74,Can change tipo insumo,19,change_tipoinsumo
75,Can delete tipo insumo,19,delete_tipoinsumo
76,Can view tipo insumo,19,view_tipoinsumo
77,Can add estado herramienta,20,add_estadoherramienta
78,Can change estado herramienta,20,change_estadoherramienta
79,Can delete estado herramienta,20,delete_estadoherramienta
80,Can view estado herramienta,20,view_estadoherramienta
81,Can add herramienta,21,add_herramienta
82,Can change herramienta,21,change_herramienta
83,Can delete herramienta,21,delete_herramienta
84,Can view herramienta,21,view_herramienta
85,Can add tipo herramienta,22,add_tipoherramienta
86,Can change tipo herramienta,22,change_tipoherramienta
87,Can delete tipo herramienta,22,delete_tipoherramienta
88,Can view tipo herramienta,22,view_tipoherramienta
