"id","app","name","applied"
1,contenttypes,"0001_initial",2023-12-04 04:38:44.469
2,contenttypes,"0002_remove_content_type_name",2023-12-04 04:38:45.360
3,auth,"0001_initial",2023-12-04 04:38:48.719
4,auth,"0002_alter_permission_name_max_length",2023-12-04 04:38:49.327
5,auth,"0003_alter_user_email_max_length",2023-12-04 04:38:49.356
6,auth,"0004_alter_user_username_opts",2023-12-04 04:38:49.383
7,auth,"0005_alter_user_last_login_null",2023-12-04 04:38:49.406
8,auth,"0006_require_contenttypes_0002",2023-12-04 04:38:49.418
9,auth,"0007_alter_validators_add_error_messages",2023-12-04 04:38:49.438
10,auth,"0008_alter_user_username_max_length",2023-12-04 04:38:49.454
11,auth,"0009_alter_user_last_name_max_length",2023-12-04 04:38:49.471
12,auth,"0010_alter_group_name_max_length",2023-12-04 04:38:49.769
13,auth,"0011_update_proxy_permissions",2023-12-04 04:38:49.799
14,auth,"0012_alter_user_first_name_max_length",2023-12-04 04:38:49.824
15,usuario,"0001_initial",2023-12-04 04:38:53.619
16,admin,"0001_initial",2023-12-04 04:38:54.910
17,admin,"0002_logentry_remove_auto_add",2023-12-04 04:38:54.987
18,admin,"0003_logentry_add_action_flag_choices",2023-12-04 04:38:55.025
19,inventario,"0001_initial",2023-12-04 04:38:55.909
20,compra,"0001_initial",2023-12-04 04:38:56.586
21,compra,"0002_initial",2023-12-04 04:38:59.445
22,herramienta,"0001_initial",2023-12-04 04:39:00.177
23,herramienta,"0002_initial",2023-12-04 04:39:04.152
24,tarea,"0001_initial",2023-12-04 04:39:05.486
25,inventario,"0002_initial",2023-12-04 04:39:10.770
26,sessions,"0001_initial",2023-12-04 04:39:11.359
27,tarea,"0002_initial",2023-12-04 04:39:19.269
